"Beans and Legumes: Retail Prices of Agricultural Commodities"

"Geolocation","Commodity","1990 January","1990 February","1990 March","1990 April","1990 May","1990 June","1990 July","1990 August","1990 September","1990 October","1990 November","1990 December","1990 Annual","1991 January","1991 February","1991 March","1991 April","1991 May","1991 June","1991 July","1991 August","1991 September","1991 October","1991 November","1991 December","1991 Annual","1992 January","1992 February","1992 March","1992 April","1992 May","1992 June","1992 July","1992 August","1992 September","1992 October","1992 November","1992 December","1992 Annual","1993 January","1993 February","1993 March","1993 April","1993 May","1993 June","1993 July","1993 August","1993 September","1993 October","1993 November","1993 December","1993 Annual","1994 January","1994 February","1994 March","1994 April","1994 May","1994 June","1994 July","1994 August","1994 September","1994 October","1994 November","1994 December","1994 Annual","1995 January","1995 February","1995 March","1995 April","1995 May","1995 June","1995 July","1995 August","1995 September","1995 October","1995 November","1995 December","1995 Annual","1996 January","1996 February","1996 March","1996 April","1996 May","1996 June","1996 July","1996 August","1996 September","1996 October","1996 November","1996 December","1996 Annual","1997 January","1997 February","1997 March","1997 April","1997 May","1997 June","1997 July","1997 August","1997 September","1997 October","1997 November","1997 December","1997 Annual","1998 January","1998 February","1998 March","1998 April","1998 May","1998 June","1998 July","1998 August","1998 September","1998 October","1998 November","1998 December","1998 Annual","1999 January","1999 February","1999 March","1999 April","1999 May","1999 June","1999 July","1999 August","1999 September","1999 October","1999 November","1999 December","1999 Annual","2000 January","2000 February","2000 March","2000 April","2000 May","2000 June","2000 July","2000 August","2000 September","2000 October","2000 November","2000 December","2000 Annual","2001 January","2001 February","2001 March","2001 April","2001 May","2001 June","2001 July","2001 August","2001 September","2001 October","2001 November","2001 December","2001 Annual","2002 January","2002 February","2002 March","2002 April","2002 May","2002 June","2002 July","2002 August","2002 September","2002 October","2002 November","2002 December","2002 Annual","2003 January","2003 February","2003 March","2003 April","2003 May","2003 June","2003 July","2003 August","2003 September","2003 October","2003 November","2003 December","2003 Annual","2004 January","2004 February","2004 March","2004 April","2004 May","2004 June","2004 July","2004 August","2004 September","2004 October","2004 November","2004 December","2004 Annual"
"PHILIPPINES","Habitchuelas [Snap beans]",14.73,13.77,14.41,15.29,20.80,17.12,17.40,17.97,24.82,21.31,18.13,19.65,17.82,18.35,17.13,16.99,15.77,17.50,17.28,18.34,20.70,18.33,17.06,23.12,22.08,18.55,15.53,15.40,20.00,21.09,20.22,18.34,19.42,17.96,25.22,27.82,21.47,17.47,20.00,17.97,17.38,16.10,15.70,18.34,20.70,22.63,18.76,17.67,21.90,24.71,24.15,19.67,23.86,20.74,22.91,20.81,23.33,21.16,21.99,27.19,29.47,23.22,19.88,22.58,23.12,23.03,20.90,20.73,22.32,27.37,24.83,20.65,20.26,23.99,29.96,32.89,30.80,24.32,27.34,26.63,24.96,26.11,26.63,24.41,24.76,36.70,30.55,24.17,26.14,30.33,27.39,25.05,26.24,26.60,22.95,28.46,32.56,25.74,24.69,32.68,28.89,24.39,25.09,26.95,26.05,27.18,30.09,34.06,39.77,37.50,28.79,26.94,28.16,38.29,52.04,41.62,34.16,32.51,31.29,30.69,29.34,24.32,31.28,30.00,37.80,37.17,34.87,37.90,34.08,32.59,29.86,33.06,32.16,27.59,30.41,30.84,34.79,32.08,29.55,31.53,44.23,46.20,33.44,34.65,32.76,23.61,32.06,34.84,33.12,36.74,33.45,34.11,37.84,39.82,37.64,34.16,31.81,33.13,33.16,32.74,34.57,33.51,36.24,38.38,33.68,29.53,30.98,33.56,33.67,33.63,29.93,29.54,30.27,38.12,48.32,36.68,37.90,33.81,33.47,33.83,37.38,35.25,35.19,32.46,31.91,31.66,37.78,38.69,38.03,35.18,41.72,43.05,35.62,47.97,37.44
"PHILIPPINES","Mongo [Mungbean], green",21.06,20.85,20.17,20.59,20.23,20.34,20.68,20.78,20.94,21.39,22.21,24.07,20.92,23.54,23.55,22.80,21.91,21.43,21.54,22.03,23.31,24.51,25.07,25.59,25.80,23.43,25.38,24.74,21.30,22.96,22.75,23.21,25.48,24.91,26.08,27.69,27.35,27.28,24.93,25.89,25.35,24.95,24.37,24.45,24.41,24.77,25.78,25.72,26.59,26.00,26.92,25.43,27.65,25.81,27.53,27.50,27.24,27.52,27.47,27.84,28.11,27.48,26.78,27.61,27.39,27.11,27.22,27.05,26.94,26.95,27.08,26.31,27.21,27.50,28.73,29.83,31.27,27.76,33.06,33.18,32.84,33.63,34.20,32.83,34.50,34.90,35.30,35.36,34.78,35.20,34.15,35.11,35.48,36.22,36.68,35.71,35.79,35.34,34.95,35.32,35.32,35.20,35.24,35.57,35.13,35.60,36.11,36.22,36.22,36.61,36.75,36.69,36.66,37.95,40.04,40.34,37.06,41.13,40.59,38.44,37.26,36.18,35.64,35.36,35.01,34.27,34.54,34.17,34.12,36.36,34.30,34.47,34.41,34.32,34.42,34.28,34.44,35.02,35.58,35.93,36.18,36.86,35.02,37.14,38.09,38.35,37.82,37.41,37.70,37.91,37.82,37.95,38.05,38.03,37.72,37.88,37.83,34.86,37.20,37.03,36.83,36.74,37.57,36.79,36.50,36.22,36.30,36.21,36.45,36.38,36.27,35.91,36.22,35.56,35.76,35.78,35.76,36.11,35.93,36.34,36.42,36.03,37.02,36.87,37.09,36.83,37.03,36.81,37.21,37.25,37.52,37.93,38.20,38.55,37.36
"PHILIPPINES","Peanut with shell, dry",17.80,16.50,16.85,16.90,17.44,16.63,18.03,17.47,17.19,16.92,18.95,20.71,17.70,20.69,20.77,19.82,19.47,20.05,21.42,21.04,19.88,19.97,20.34,21.96,21.65,20.44,18.75,18.00,18.84,18.25,17.70,19.05,17.47,19.00,17.66,15.82,16.23,16.25,17.75,16.01,17.78,17.44,17.83,21.05,21.88,21.46,20.57,19.69,24.02,20.28,20.71,19.89,21.64,23.45,22.28,17.93,20.89,21.71,20.61,20.05,21.97,21.27,21.51,25.34,21.53,24.95,20.98,21.48,21.70,23.32,21.97,25.35,25.59,22.95,21.60,23.72,26.84,23.37,31.53,28.68,26.15,25.90,28.74,28.86,26.23,24.69,28.89,29.25,27.18,28.93,27.92,26.91,26.42,26.84,25.39,27.20,26.69,29.95,26.79,26.07,25.38,25.48,27.23,26.66,26.74,25.96,27.70,29.00,32.37,32.53,32.42,32.64,31.82,32.66,33.77,32.64,30.84,33.72,34.25,32.04,31.68,30.13,29.01,28.87,28.83,29.59,32.00,31.68,31.23,31.08,30.34,31.46,31.37,31.86,30.14,28.74,32.33,31.80,31.98,31.38,32.27,33.36,31.40,34.20,33.28,33.89,32.14,32.38,35.09,34.60,32.89,35.44,36.27,36.06,37.40,34.49,36.39,36.05,35.32,35.62,35.60,34.39,36.01,35.73,35.47,37.27,36.97,36.74,35.94,34.25,34.66,35.24,35.80,35.23,33.41,34.10,36.29,35.48,35.72,35.62,36.23,35.20,37.00,36.42,36.35,34.95,35.76,37.02,37.77,36.78,38.09,38.87,41.04,40.33,37.39
"PHILIPPINES","Peanut without shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..,32.99,33.26,33.48,34.34,35.22,35.53,35.00,34.88,34.97,33.69,33.87,33.82,34.20,32.44,31.78,31.61,31.66,29.39,29.52,30.58,31.48,31.85,30.82,30.92,31.95,31.17,30.85,29.75,29.13,30.57,31.88,32.33,32.82,33.49,33.82,35.41,35.22,35.92,32.60,33.06,34.42,35.59,35.15,35.15,35.32,34.39,34.63,34.53,34.67,34.96,35.16,34.72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.57,36.32,36.60,36.21,37.66,37.18,37.44,37.32,37.39,37.96,38.59,39.85,37.45,41.82,43.06,42.11,43.48,44.45,44.82,44.99,44.19,44.51,45.66,47.41,46.34,44.44,47.46,46.24,44.73,44.56,44.18,43.19,42.97,42.57,42.23,42.61,42.31,41.88,43.71,41.95,41.86,41.96,42.41,41.65,42.10,42.56,41.96,42.04,41.95,42.04,42.45,42.07,43.06,42.68,42.65,43.23,42.64,42.77,42.92,41.60,41.58,41.67,41.26,41.75,42.39,42.01,41.68,41.90,41.61,41.69,42.12,42.25,41.80,42.05,42.13,42.22,42.17,41.97,42.10,42.73,43.81,43.95,46.01,46.02,46.55,46.53,46.77,47.67,48.77,50.31,45.90,49.68,49.56,49.83,49.48,49.93,50.73,51.15,51.37,51.52,52.10,53.41,53.01,50.96
"PHILIPPINES","Stringbeans",10.96,10.36,9.70,9.99,11.57,12.99,12.34,9.21,11.18,10.92,11.66,11.95,11.11,12.26,13.11,12.14,10.88,10.93,12.30,14.08,15.37,13.04,11.09,14.46,13.66,12.62,12.91,11.87,13.30,14.03,15.04,15.56,16.95,14.24,15.85,15.91,16.60,14.80,14.76,13.71,13.37,12.22,11.78,9.84,13.31,15.90,13.97,12.43,13.70,14.37,17.17,13.48,22.48,21.15,21.36,20.19,12.85,19.02,19.73,21.08,21.24,19.34,19.86,21.60,20.00,17.25,16.20,15.90,16.25,17.35,17.78,16.38,13.76,13.94,18.38,20.72,23.19,17.22,24.33,24.34,24.34,24.48,22.11,22.37,19.50,24.54,21.29,20.82,21.38,22.75,22.69,26.79,30.28,27.59,23.02,22.95,27.94,25.16,21.75,20.74,21.45,21.44,21.35,24.13,22.89,25.87,28.50,28.63,32.10,34.20,30.62,25.86,22.47,26.18,31.60,34.34,28.52,30.37,29.55,29.35,28.22,22.69,23.49,23.53,28.33,28.34,24.94,28.10,30.78,27.25,30.90,31.02,30.50,28.49,26.72,27.58,31.62,26.09,26.67,26.41,36.19,34.06,29.60,35.23,33.86,31.84,29.38,24.30,28.71,30.06,26.88,25.99,28.19,32.56,32.58,29.87,29.24,32.30,30.77,29.95,28.18,29.94,33.70,31.04,27.34,24.68,26.21,27.29,29.15,31.79,30.14,30.89,29.85,32.02,37.22,33.77,28.16,25.07,25.01,27.02,29.60,29.65,30.72,32.30,31.33,29.64,32.08,35.09,33.59,28.35,30.14,31.13,32.51,37.68,32.03
"..NATIONAL CAPITAL REGION (NCR)","Habitchuelas [Snap beans]",11.07,12.21,14.90,15.69,20.80,19.37,22.16,23.08,35.00,24.95,16.63,18.74,19.49,17.90,15.75,16.68,16.31,18.48,19.68,24.92,26.16,19.88,18.99,39.55,30.19,21.96,13.72,14.40,23.53,25.27,21.54,18.14,20.95,22.35,33.43,34.43,23.51,17.11,22.37,11.89,14.73,12.15,8.42,12.94,16.63,20.26,8.98,8.87,20.52,23.90,21.52,15.09,23.82,20.65,25.50,23.56,25.73,22.65,26.35,33.98,37.30,22.45,19.96,24.53,25.54,26.36,22.65,20.65,25.23,34.71,29.69,22.63,24.27,27.44,36.94,38.09,32.06,28.15,24.71,25.00,25.93,28.18,28.00,28.53,31.10,51.44,39.20,27.28,31.27,36.08,31.39,28.28,26.47,28.30,25.56,31.06,39.45,29.51,30.82,40.93,36.20,27.74,26.10,38.09,25.38,29.41,33.98,35.22,37.67,38.31,31.93,32.50,36.03,55.92,70.17,46.25,39.91,34.42,31.64,36.96,34.82,34.43,40.77,36.20,55.23,46.76,44.24,40.88,40.89,40.01,34.24,38.21,38.19,32.24,36.04,36.96,48.41,39.69,37.22,38.23,65.22,56.30,41.81,37.19,36.50,37.26,40.12,46.70,37.59,48.95,36.42,38.06,44.48,47.96,37.22,40.32,31.48,33.09,31.88,39.67,43.80,39.79,47.23,45.02,32.32,29.23,37.76,35.85,37.12,37.29,29.42,29.55,29.78,39.38,65.95,43.21,48.66,38.00,33.56,35.17,38.07,38.70,28.29,34.54,34.40,34.72,41.68,42.80,44.12,33.77,51.57,45.20,35.57,63.29,40.84
"..NATIONAL CAPITAL REGION (NCR)","Mongo [Mungbean], green",23.43,23.20,23.29,22.97,22.76,22.41,22.48,22.35,22.01,22.57,22.05,21.09,22.53,21.26,20.82,20.94,21.00,21.30,21.09,21.25,22.88,26.35,27.16,27.47,27.59,23.10,28.23,27.29,25.04,24.05,23.94,24.84,25.91,26.53,26.79,27.17,27.00,27.11,26.16,17.60,16.58,15.28,13.90,13.96,14.70,15.00,20.40,23.19,24.55,24.60,24.87,18.72,27.89,27.64,28.86,26.99,27.66,27.57,27.52,27.83,27.77,27.09,25.33,27.33,27.46,27.03,26.98,26.96,27.61,28.12,27.74,28.10,27.80,28.05,28.83,30.58,32.11,28.22,33.80,34.05,33.39,34.01,33.28,33.46,33.17,33.44,32.53,32.79,32.70,33.02,33.31,33.46,33.19,33.87,34.32,33.98,34.96,35.08,34.65,35.01,34.96,35.57,35.95,34.60,35.97,36.50,36.42,36.52,36.79,36.77,36.67,37.05,36.86,37.98,38.95,39.93,37.29,40.79,40.95,40.65,40.64,40.25,39.14,38.93,39.33,38.95,38.79,38.66,38.59,39.57,38.74,37.80,37.73,37.57,37.84,37.96,37.80,37.55,37.38,38.00,38.29,38.86,37.99,38.12,40.42,40.68,39.08,37.73,38.81,39.52,39.91,39.72,39.36,39.74,39.32,39.45,39.56,38.80,38.87,38.23,38.46,37.38,37.82,37.92,38.57,37.92,37.69,37.75,38.24,37.68,37.35,37.38,41.52,37.55,37.54,37.52,37.50,37.42,37.79,37.86,37.89,37.86,37.87,37.54,38.15,38.20,38.22,36.95,38.14,38.27,37.96,38.03,38.07,37.77,37.93
"..NATIONAL CAPITAL REGION (NCR)","Peanut with shell, dry",..,..,..,..,..,..,..,..,21.62,21.67,25.00,23.00,22.51,22.85,25.00,24.63,25.19,25.00,23.53,23.33,23.19,22.81,23.56,..,30.00,23.99,26.38,..,20.00,26.26,20.00,25.00,..,26.67,25.00,22.75,20.00,20.00,23.21,20.55,20.00,19.75,18.06,16.11,16.67,..,..,..,..,..,..,18.52,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Peanut without shell, dry",..,..,..,..,..,..,..,..,..,..,..,..,..,36.01,35.62,35.80,36.19,36.90,36.11,36.31,36.81,36.06,36.20,35.66,35.22,36.09,35.02,33.20,32.80,33.27,33.12,33.16,33.02,33.19,33.17,32.77,32.09,32.40,33.10,32.01,32.00,31.58,31.15,31.61,31.98,32.26,33.20,32.62,32.30,32.74,33.49,32.05,34.21,34.81,33.91,36.22,35.36,35.49,35.11,36.11,35.09,34.73,35.06,34.58,35.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.81,33.82,34.05,34.07,34.10,34.96,34.95,35.58,35.60,35.64,35.82,36.18,34.90,37.71,41.03,41.20,43.37,45.50,46.67,47.53,46.42,46.85,48.62,48.53,49.37,45.03,47.08,42.83,42.21,41.91,40.53,39.95,39.88,39.49,39.49,39.33,40.02,39.88,40.99,39.68,39.29,39.29,39.31,39.25,39.18,38.88,39.26,39.41,38.85,39.35,39.41,39.26,40.50,38.85,40.66,40.63,39.49,39.67,39.30,39.39,39.61,39.78,33.70,39.73,39.17,41.38,39.35,39.56,37.78,38.75,38.64,39.04,38.63,38.65,38.88,39.02,38.07,38.98,38.71,39.51,42.97,42.04,47.58,46.53,47.27,47.08,45.87,47.10,47.59,47.89,44.60,48.92,46.55,48.12,49.01,49.21,50.14,50.36,51.70,52.05,53.22,52.95,52.69,50.37
"..NATIONAL CAPITAL REGION (NCR)","Stringbeans",16.57,12.18,11.24,13.17,15.86,16.73,20.22,15.34,22.08,18.63,18.79,16.52,16.43,19.79,17.65,18.30,17.23,15.67,21.07,28.30,33.63,20.73,15.71,29.43,25.27,21.78,16.45,14.68,17.93,19.31,21.72,20.29,23.74,22.51,24.89,21.37,26.41,19.38,20.72,23.95,22.76,20.24,18.67,20.69,20.95,24.20,23.58,16.26,27.51,25.41,35.25,23.29,46.48,42.49,48.91,45.64,51.87,40.47,45.13,47.14,44.31,42.53,43.62,53.80,46.03,12.01,9.85,9.44,10.09,11.05,10.61,9.58,7.62,7.85,10.61,13.15,21.21,11.19,33.52,30.79,31.70,33.68,30.75,27.28,27.15,37.69,27.77,27.22,28.28,32.33,30.71,42.73,56.15,42.62,37.34,36.37,44.16,36.70,30.38,27.60,30.13,31.20,29.52,38.09,32.60,44.44,52.88,46.92,55.80,52.96,44.92,48.21,35.61,49.84,58.63,56.38,48.27,50.78,41.85,57.54,51.21,31.95,33.27,32.86,49.54,51.01,51.00,42.00,55.19,45.38,54.04,51.11,53.13,46.47,52.03,46.05,57.13,42.50,40.85,39.82,67.59,54.42,50.29,60.02,57.53,55.97,47.37,42.96,40.54,47.06,43.82,35.19,37.53,47.87,46.23,47.00,47.22,53.15,44.28,48.46,45.02,44.65,62.21,50.13,38.60,31.91,37.43,36.18,44.75,50.08,46.40,48.00,46.73,46.78,60.53,52.62,43.41,36.22,34.12,38.25,45.45,45.77,34.97,45.56,47.93,47.37,48.70,53.69,46.91,37.16,41.34,49.83,51.48,60.90,47.12
