"Leafy Vegetables: Retail Prices of Agricultural Commodities"

"Geolocation","Commodity","1990 January","1990 February","1990 March","1990 April","1990 May","1990 June","1990 July","1990 August","1990 September","1990 October","1990 November","1990 December","1990 Annual","1991 January","1991 February","1991 March","1991 April","1991 May","1991 June","1991 July","1991 August","1991 September","1991 October","1991 November","1991 December","1991 Annual","1992 January","1992 February","1992 March","1992 April","1992 May","1992 June","1992 July","1992 August","1992 September","1992 October","1992 November","1992 December","1992 Annual","1993 January","1993 February","1993 March","1993 April","1993 May","1993 June","1993 July","1993 August","1993 September","1993 October","1993 November","1993 December","1993 Annual","1994 January","1994 February","1994 March","1994 April","1994 May","1994 June","1994 July","1994 August","1994 September","1994 October","1994 November","1994 December","1994 Annual","1995 January","1995 February","1995 March","1995 April","1995 May","1995 June","1995 July","1995 August","1995 September","1995 October","1995 November","1995 December","1995 Annual","1996 January","1996 February","1996 March","1996 April","1996 May","1996 June","1996 July","1996 August","1996 September","1996 October","1996 November","1996 December","1996 Annual","1997 January","1997 February","1997 March","1997 April","1997 May","1997 June","1997 July","1997 August","1997 September","1997 October","1997 November","1997 December","1997 Annual","1998 January","1998 February","1998 March","1998 April","1998 May","1998 June","1998 July","1998 August","1998 September","1998 October","1998 November","1998 December","1998 Annual","1999 January","1999 February","1999 March","1999 April","1999 May","1999 June","1999 July","1999 August","1999 September","1999 October","1999 November","1999 December","1999 Annual","2000 January","2000 February","2000 March","2000 April","2000 May","2000 June","2000 July","2000 August","2000 September","2000 October","2000 November","2000 December","2000 Annual","2001 January","2001 February","2001 March","2001 April","2001 May","2001 June","2001 July","2001 August","2001 September","2001 October","2001 November","2001 December","2001 Annual","2002 January","2002 February","2002 March","2002 April","2002 May","2002 June","2002 July","2002 August","2002 September","2002 October","2002 November","2002 December","2002 Annual","2003 January","2003 February","2003 March","2003 April","2003 May","2003 June","2003 July","2003 August","2003 September","2003 October","2003 November","2003 December","2003 Annual","2004 January","2004 February","2004 March","2004 April","2004 May","2004 June","2004 July","2004 August","2004 September","2004 October","2004 November","2004 December","2004 Annual","2005 January","2005 February","2005 March","2005 April","2005 May","2005 June","2005 July","2005 August","2005 September","2005 October","2005 November","2005 December","2005 Annual","2006 January","2006 February","2006 March","2006 April","2006 May","2006 June","2006 July","2006 August","2006 September","2006 October","2006 November","2006 December","2006 Annual","2007 January","2007 February","2007 March","2007 April","2007 May","2007 June","2007 July","2007 August","2007 September","2007 October","2007 November","2007 December","2007 Annual","2008 January","2008 February","2008 March","2008 April","2008 May","2008 June","2008 July","2008 August","2008 September","2008 October","2008 November","2008 December","2008 Annual"
"PHILIPPINES","Cabbage",12.26,11.81,14.21,18.05,23.45,26.80,24.61,20.82,25.11,20.95,22.40,20.60,20.23,18.15,17.51,18.71,16.61,16.46,18.85,17.74,21.88,25.49,22.73,21.61,17.74,19.44,17.29,14.50,15.75,17.48,24.91,24.41,20.38,15.94,20.74,21.08,23.58,21.88,19.83,20.18,15.12,13.78,13.76,13.92,15.69,16.71,18.68,17.19,16.92,19.33,18.95,16.67,21.60,20.49,22.16,21.37,20.38,18.96,16.59,18.55,19.02,15.65,15.52,15.07,18.75,15.31,14.20,15.97,18.26,21.86,23.59,22.19,17.87,18.50,23.37,25.27,28.54,20.56,25.73,19.51,15.50,14.49,15.74,20.26,21.94,33.69,32.17,25.20,20.50,23.88,22.38,20.99,18.09,21.75,21.90,25.56,22.80,19.69,19.75,23.46,25.17,24.74,22.91,22.22,22.02,20.70,24.64,33.55,43.13,50.73,38.88,22.91,21.19,27.20,34.50,47.73,32.20,39.10,32.81,22.35,20.56,22.74,25.55,27.96,34.95,31.53,29.59,26.42,24.45,28.10,22.75,23.23,26.94,30.57,24.88,22.79,25.36,26.08,26.07,27.49,30.35,34.77,26.18,31.84,28.14,22.35,22.47,24.09,27.24,30.14,28.59,24.98,26.54,25.84,25.67,26.51,23.21,25.18,25.94,25.11,28.37,33.60,37.74,35.86,31.53,31.35,26.30,24.82,28.97,22.57,22.44,22.68,23.16,29.53,38.66,27.95,24.96,29.27,31.89,28.45,26.85,27.37,25.85,25.97,25.07,26.21,28.70,29.26,30.42,32.01,34.43,32.08,28.78,29.39,29.03,32.47,29.92,26.42,27.16,28.82,28.37,28.12,26.99,27.76,35.07,35.16,36.65,30.20,34.71,29.33,27.98,34.17,34.20,34.23,36.75,38.62,42.02,36.85,32.75,33.18,34.59,30.08,30.69,28.79,30.88,30.94,29.93,29.94,28.60,32.34,40.18,40.25,47.27,33.27,37.23,31.55,29.06,28.62,32.41,41.54,40.50,42.42,42.17,37.07,36.27,38.82,36.49
"PHILIPPINES","Camote tops [Sweet potato tops]",4.42,4.58,4.53,5.92,7.64,5.36,5.28,5.01,5.15,5.30,5.81,5.90,5.23,6.00,5.93,5.88,5.75,5.54,5.69,5.76,5.95,5.85,5.69,5.90,5.78,5.75,6.76,6.79,7.24,7.43,7.32,7.16,7.11,6.77,6.90,6.93,7.03,7.13,7.05,6.98,7.01,7.07,7.35,7.24,7.33,7.34,5.86,5.87,5.91,6.22,6.53,6.72,8.98,8.46,8.86,9.55,8.42,8.21,8.38,9.03,8.53,8.59,8.87,8.65,8.71,9.06,9.01,8.76,9.37,9.86,9.28,9.19,8.99,9.17,10.72,11.04,10.76,9.60,11.68,11.17,10.93,11.22,10.87,11.14,10.02,11.07,10.75,10.43,10.86,11.11,10.94,11.61,12.11,11.80,11.61,11.40,11.79,11.73,11.34,11.30,11.18,11.88,11.77,11.59,12.27,12.60,12.67,13.46,14.49,14.88,13.98,13.39,12.95,13.78,15.26,15.75,13.81,15.33,14.67,14.16,14.24,14.36,14.47,14.69,14.93,14.43,14.58,15.00,14.51,14.61,14.60,15.26,15.19,14.87,15.13,15.38,15.60,15.71,15.34,15.32,17.73,16.25,16.22,15.91,15.86,15.65,15.06,14.78,14.97,15.17,14.81,14.53,15.04,14.96,15.07,15.13,14.95,15.34,15.77,15.77,16.18,15.78,15.11,15.75,15.36,15.88,16.04,15.25,15.57,15.97,15.93,16.37,16.23,16.31,16.13,15.76,15.58,15.55,15.51,15.48,15.85,15.89,16.38,16.43,16.82,16.56,17.03,17.34,17.44,16.95,17.21,17.26,17.09,17.59,17.02,17.22,17.36,17.60,17.76,17.71,17.53,17.31,17.19,17.08,17.43,17.44,17.76,17.45,18.08,18.10,17.76,18.07,18.19,18.14,18.12,18.09,17.91,18.57,18.32,18.47,18.15,18.82,19.19,19.16,19.04,19.11,18.75,18.52,18.52,18.62,18.84,18.87,19.34,18.89,19.33,19.45,19.53,19.78,19.75,19.88,19.99,20.37,19.99,20.15,20.05,20.35,19.89
"PHILIPPINES","Kangkong [Morning glory]",4.12,4.24,4.07,7.25,7.49,4.45,4.49,4.39,4.34,4.52,5.14,5.28,4.53,5.46,5.63,5.33,5.12,5.05,5.12,5.11,5.15,5.42,5.19,5.30,5.39,5.21,6.26,6.36,6.61,6.73,6.57,6.45,6.32,6.12,6.35,6.52,6.66,6.80,6.48,6.68,6.90,6.84,6.93,7.10,6.70,6.85,5.31,5.40,5.40,5.56,5.65,5.82,8.45,8.38,8.77,7.86,7.71,7.75,7.67,7.69,8.00,8.22,11.93,8.03,8.37,8.52,8.48,8.50,8.82,9.10,8.98,9.33,8.71,8.68,10.45,10.68,12.22,9.40,11.66,11.03,10.74,11.06,10.83,11.05,10.63,11.27,11.44,11.20,11.36,11.45,11.14,11.54,11.92,11.75,11.77,11.55,11.94,11.26,11.42,11.34,11.43,11.46,11.41,11.56,11.66,12.11,12.36,12.69,13.79,13.40,13.29,12.39,12.01,13.20,14.27,14.49,12.98,14.18,13.80,13.74,13.55,13.53,13.60,13.55,13.75,13.61,13.93,13.81,14.13,13.77,14.45,14.80,14.59,14.33,14.74,14.67,14.94,15.06,14.65,14.56,16.72,15.98,14.96,15.04,14.83,14.57,14.40,13.91,14.58,14.47,14.08,14.45,14.71,13.89,14.71,14.36,14.44,14.48,15.37,15.19,14.34,15.41,15.25,15.40,14.86,15.15,15.54,15.06,15.04,15.50,16.54,15.91,15.96,16.75,16.17,16.02,15.76,15.84,15.88,15.99,16.56,16.07,17.08,17.06,17.20,17.25,17.21,17.21,17.32,17.29,17.64,17.54,17.61,18.18,17.38,18.03,18.18,18.10,18.12,18.08,17.73,17.76,17.58,17.66,17.92,17.89,18.74,17.98,18.68,18.59,18.62,18.72,18.60,18.55,18.30,18.18,17.80,18.24,18.20,18.35,18.40,18.07,18.30,18.57,18.78,18.89,18.68,18.52,18.70,19.25,18.74,19.21,19.14,18.74,19.06,19.15,19.36,19.59,19.50,19.88,19.93,20.07,20.00,20.29,20.44,20.37,19.80
"PHILIPPINES","Pechay native",7.56,7.94,7.92,8.94,10.07,11.66,12.17,11.40,12.68,12.15,12.60,12.61,10.87,10.64,10.14,9.53,8.96,10.41,11.90,12.69,13.10,13.61,12.42,12.54,11.42,11.43,10.11,10.73,10.49,10.82,12.84,14.11,14.18,13.44,15.59,15.78,16.27,12.34,13.06,12.48,10.76,10.38,10.51,11.77,13.28,16.27,15.03,14.34,16.62,16.19,17.26,13.74,17.61,14.89,12.75,13.11,14.60,16.70,18.42,17.56,16.67,17.20,15.16,14.41,15.73,14.90,14.41,13.49,15.25,16.88,18.14,18.44,18.31,21.04,25.71,26.35,22.24,18.49,19.03,16.44,14.73,16.52,19.12,19.28,18.77,27.21,23.98,21.82,23.61,23.38,20.32,18.77,18.03,18.47,18.21,20.96,22.41,21.80,22.09,23.60,23.30,20.74,19.87,20.67,19.61,19.44,19.68,21.19,24.29,28.61,26.60,24.20,23.82,27.28,33.26,30.64,24.84,28.18,23.46,20.42,24.75,25.72,27.06,26.54,27.42,26.81,26.92,27.23,26.37,25.89,25.40,23.95,22.84,23.03,26.93,27.91,29.95,27.65,25.96,25.56,37.05,31.46,27.24,25.79,25.10,24.37,23.42,28.86,28.75,30.28,27.79,27.85,28.33,28.65,27.15,27.13,22.96,23.03,22.09,22.94,24.30,28.47,33.00,34.05,27.19,29.54,28.17,24.93,26.77,24.87,23.77,21.59,23.81,28.21,33.68,27.45,29.13,29.58,28.75,27.24,27.34,27.10,25.34,25.46,24.36,24.89,30.45,32.53,28.94,32.12,30.45,30.21,27.34,33.29,28.78,27.30,24.65,25.44,25.94,26.80,32.31,30.69,31.30,32.23,34.65,32.71,31.96,29.70,30.65,29.73,26.75,27.72,31.60,32.42,32.70,32.83,31.27,36.91,32.20,31.97,31.41,31.17,28.92,25.88,27.62,30.23,35.46,33.57,32.14,34.59,35.56,35.62,37.56,32.33,33.43,33.28,31.73,32.25,39.20,38.30,40.51,37.49,36.85,38.60,39.37,38.41,36.61
"..NATIONAL CAPITAL REGION (NCR)","Cabbage",11.21,9.57,12.66,19.62,27.41,32.93,31.90,30.21,37.17,24.76,26.41,18.69,23.52,16.96,17.89,22.18,18.05,17.21,20.96,16.63,29.82,36.36,27.67,24.01,16.68,22.00,19.95,15.24,14.80,14.83,24.68,24.58,18.74,16.15,27.09,27.77,29.67,26.26,21.65,19.00,14.81,13.32,13.75,13.71,14.63,12.92,18.39,17.77,20.93,25.18,19.78,16.63,21.27,22.64,26.60,27.23,26.12,22.23,18.00,22.18,20.67,17.60,14.43,14.64,21.13,13.24,13.95,18.03,21.52,24.49,26.72,22.65,18.80,18.52,30.71,25.52,34.65,22.30,29.13,18.39,14.91,15.61,16.44,23.67,22.93,44.48,46.39,29.36,19.40,27.35,25.89,23.05,20.26,29.46,27.97,32.23,23.49,18.60,22.81,35.35,30.30,23.56,20.32,25.36,21.53,20.82,29.30,34.96,43.38,72.68,45.46,25.60,25.01,36.21,40.20,59.89,38.07,45.10,43.16,24.19,22.79,26.95,32.54,33.70,47.21,35.65,35.94,31.22,23.14,33.50,23.09,26.21,31.38,37.38,28.33,21.96,27.13,31.69,32.13,36.48,34.54,39.08,30.75,37.68,34.86,22.88,23.82,28.89,30.21,35.93,31.59,29.02,24.83,24.65,24.24,28.90,23.20,25.35,31.89,26.89,28.90,37.51,41.21,42.74,33.83,35.30,24.67,23.72,31.43,20.92,21.82,20.79,21.72,32.38,46.01,24.79,23.25,36.84,38.94,24.44,24.07,27.82,26.79,30.29,28.59,26.26,27.29,26.67,27.71,32.85,36.40,28.02,27.53,30.91,29.10,39.18,34.63,23.32,21.98,28.44,30.76,29.39,26.25,25.46,37.90,37.47,39.72,31.17,35.74,30.31,30.08,47.85,42.46,34.06,37.19,44.24,54.19,39.22,31.56,35.13,38.50,30.46,28.22,27.21,25.40,28.39,25.41,27.96,28.20,34.12,44.83,38.96,48.82,32.20,34.17,30.04,26.98,27.41,33.57,48.70,36.41,43.47,46.84,38.15,36.12,38.92,36.72
"..NATIONAL CAPITAL REGION (NCR)","Camote tops [Sweet potato tops]",7.69,7.32,7.43,7.45,7.64,7.71,7.77,7.80,8.08,8.61,8.83,8.98,7.95,9.04,9.05,9.08,8.99,8.89,8.87,8.96,8.97,10.10,9.89,10.01,10.02,9.32,9.89,9.65,9.72,9.39,9.09,9.16,9.33,9.08,9.35,8.88,9.22,8.84,9.30,8.94,8.92,8.93,9.22,9.11,9.06,9.17,8.00,11.76,8.00,8.48,8.56,8.89,12.98,12.09,11.95,10.33,9.80,9.75,9.78,10.48,10.26,9.52,10.28,9.98,10.60,10.32,10.05,9.83,9.67,9.91,9.36,9.34,9.63,9.46,13.90,14.04,15.00,10.25,16.49,15.81,15.71,15.10,16.03,15.81,15.47,15.86,15.64,15.77,15.47,15.60,15.75,16.38,16.48,16.36,16.44,16.32,17.59,16.28,16.94,16.84,16.57,16.45,16.38,16.58,16.54,16.73,16.97,18.36,21.17,21.87,21.46,20.35,19.02,21.19,27.12,26.35,20.83,25.48,24.63,24.00,23.70,23.73,23.55,23.49,23.84,23.77,23.79,23.63,23.85,23.92,24.71,24.71,24.17,24.18,24.29,24.44,24.54,24.46,24.34,24.33,35.41,25.46,23.65,19.96,19.96,19.92,19.92,20.00,19.60,20.00,20.48,19.66,19.20,19.44,19.44,19.78,19.56,19.88,19.60,19.56,19.56,19.64,19.80,19.80,19.72,19.84,22.13,19.84,19.80,19.84,20.00,19.72,19.72,19.72,20.00,20.00,20.00,20.00,20.00,20.00,20.00,19.91,20.00,20.00,20.00,20.00,20.00,20.00,20.00,19.86,19.86,19.86,19.85,21.44,20.07,19.88,19.85,19.86,19.85,19.85,19.85,19.85,19.71,19.71,19.94,19.83,19.95,19.85,19.85,19.85,19.86,19.93,19.93,19.93,19.93,19.85,19.85,20.10,20.00,20.00,19.92,20.00,19.85,19.85,19.85,19.85,20.00,19.85,19.85,19.85,19.85,19.85,19.85,19.88,19.85,19.85,19.83,19.85,19.85,20.00,19.85,20.86,19.71,20.00,19.85,19.93,19.95
"..NATIONAL CAPITAL REGION (NCR)","Kangkong [Morning glory]",7.49,7.16,7.13,7.25,7.49,7.63,7.65,7.70,8.01,8.42,8.77,8.82,7.80,8.94,8.91,8.94,8.87,8.87,8.68,8.82,8.81,9.58,9.42,9.33,9.43,9.05,9.11,9.08,8.76,8.81,8.77,8.95,9.13,8.88,9.24,9.02,9.07,8.79,8.97,8.90,8.89,8.81,9.18,9.11,8.97,9.51,9.55,10.15,10.00,10.00,10.65,9.42,13.03,12.09,12.46,10.28,9.80,10.01,9.77,10.52,10.24,10.11,10.22,10.14,10.72,10.13,10.05,9.21,9.59,9.20,9.41,9.33,9.31,9.46,13.99,13.93,16.79,10.67,17.01,15.80,15.45,15.10,15.86,15.36,15.17,15.47,15.55,15.77,15.48,15.60,15.66,16.45,16.48,16.26,16.33,16.67,17.70,16.22,16.90,16.84,16.46,16.47,16.35,16.57,16.52,16.71,16.92,18.29,21.38,21.90,21.39,20.74,19.76,21.30,27.19,26.43,21.04,25.53,24.67,23.98,23.71,23.31,23.52,23.44,23.88,23.81,23.75,23.73,23.76,23.89,24.89,24.87,24.22,24.20,24.33,24.44,24.63,24.45,24.34,24.36,36.00,26.00,23.76,20.88,20.32,20.04,19.84,20.00,19.72,19.60,19.48,19.36,19.40,17.60,19.44,19.62,18.38,19.48,19.60,19.72,19.56,19.64,19.80,19.80,19.68,19.84,19.84,19.84,19.70,19.84,20.00,19.72,19.72,19.72,20.00,20.00,20.00,21.53,20.00,20.00,20.00,20.02,20.00,20.00,20.00,20.00,20.00,20.00,20.00,19.86,19.86,19.86,19.85,21.44,20.07,19.88,19.85,19.86,19.57,19.57,19.85,19.85,19.85,19.85,19.92,19.75,19.95,19.81,19.85,19.85,19.86,19.93,19.93,19.93,19.93,19.85,19.85,20.10,20.00,20.00,19.92,19.93,19.85,19.85,19.85,19.85,20.00,19.85,19.85,19.85,19.85,19.85,19.85,19.87,19.85,19.85,19.83,19.85,19.85,20.31,19.85,19.93,19.71,19.85,19.85,19.70,19.87
"..NATIONAL CAPITAL REGION (NCR)","Pechay native",8.56,8.40,8.30,8.94,11.80,16.81,17.91,17.06,20.33,16.91,14.95,16.95,13.88,13.95,10.40,10.01,10.42,11.06,12.87,15.15,18.22,24.51,17.61,14.75,12.75,14.34,11.23,13.51,11.56,12.58,16.43,19.16,16.14,18.08,23.26,23.03,20.49,14.49,16.66,12.97,13.71,12.10,12.74,14.01,14.38,21.89,19.82,18.60,30.26,23.98,26.28,17.72,23.43,17.66,14.76,15.09,19.30,20.74,24.01,24.20,20.03,24.94,17.44,14.06,19.64,18.43,16.81,14.89,17.84,19.94,19.18,22.93,23.59,31.81,46.71,38.62,28.31,36.72,18.89,15.97,15.93,20.07,22.99,23.81,22.16,52.41,36.58,30.72,34.16,32.51,26.96,18.84,19.05,23.12,19.71,26.42,29.02,25.70,27.93,35.74,33.28,20.01,20.26,24.86,21.57,19.66,19.80,22.56,32.14,53.87,40.85,37.60,39.49,52.41,58.35,44.72,37.18,45.94,26.15,22.17,38.88,36.48,36.86,36.94,38.86,38.79,34.67,35.49,35.59,35.52,33.35,31.52,28.10,26.80,45.99,47.78,48.31,41.95,36.90,35.08,40.35,44.39,41.71,32.23,36.33,26.56,26.09,49.76,39.29,44.98,36.72,37.76,35.29,34.39,31.00,35.03,26.58,25.87,26.17,26.07,25.54,37.23,50.35,51.34,36.07,37.13,32.50,28.43,33.67,28.74,27.17,21.99,26.99,33.36,51.25,29.52,38.07,45.05,36.98,31.56,30.48,33.05,21.69,27.87,26.29,22.12,30.85,39.70,28.69,46.66,37.81,31.69,26.76,53.77,32.81,31.50,23.76,25.11,27.89,28.90,48.25,33.10,42.66,42.20,45.49,34.77,34.28,35.02,31.11,34.71,29.16,33.76,40.26,35.74,41.26,42.64,36.78,54.26,34.11,32.90,37.35,33.03,28.08,26.28,30.00,30.65,54.16,36.53,34.97,40.94,40.27,36.97,39.26,35.94,30.90,35.23,27.29,33.42,51.33,37.40,37.96,35.63,35.42,42.29,40.72,34.72,37.01
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Cabbage",8.49,6.07,7.23,12.14,16.44,21.09,16.73,13.24,14.20,15.00,14.84,11.61,13.09,10.53,10.96,13.65,13.12,12.76,14.05,12.70,16.18,22.12,19.18,15.70,11.21,14.35,11.68,8.74,10.20,10.92,17.49,17.50,15.12,11.79,15.53,19.57,18.25,15.94,14.39,12.79,10.83,10.56,10.76,9.55,9.30,10.17,11.90,12.43,14.00,18.69,14.70,12.14,13.35,13.83,17.44,19.00,17.89,15.98,13.19,15.31,14.68,12.97,10.49,8.60,14.39,8.86,8.13,10.22,15.38,20.14,22.28,22.21,15.68,16.55,22.92,21.93,21.83,16.30,19.98,12.93,9.80,9.39,9.83,17.75,18.76,32.16,38.07,26.61,17.51,19.10,19.32,16.81,14.85,17.10,20.07,22.72,20.03,16.89,16.79,22.66,24.02,19.93,15.20,18.92,14.43,13.86,18.98,23.95,31.53,48.77,39.18,22.13,20.92,29.16,32.66,42.52,25.62,32.24,25.37,15.06,15.52,19.12,22.61,24.41,28.91,30.51,28.89,25.08,22.74,22.60,14.08,15.92,20.94,26.39,21.29,19.39,22.23,24.09,23.68,27.51,27.43,29.72,22.72,22.74,20.48,17.57,15.68,20.99,22.75,29.84,25.08,23.51,26.93,17.89,15.65,21.59,13.55,14.38,21.14,21.22,21.43,26.47,31.62,35.18,31.43,28.54,24.00,18.76,23.98,14.80,15.18,14.17,14.42,23.91,36.53,27.91,16.23,24.71,28.84,23.56,16.87,21.43,17.95,20.44,21.43,22.70,22.37,20.49,23.76,26.54,29.53,26.72,22.15,21.15,22.97,25.65,23.66,17.00,15.16,20.10,21.37,23.24,19.81,19.56,31.11,30.69,30.08,23.02,25.74,21.84,22.16,34.21,35.69,28.75,30.08,38.14,42.31,31.07,25.74,24.62,29.95,17.37,18.06,18.84,18.00,19.68,19.00,21.52,19.95,24.45,35.32,34.94,36.47,23.59,24.09,20.41,17.03,19.14,22.12,29.90,30.65,33.07,37.33,30.57,29.55,27.24,26.81
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Camote tops [Sweet potato tops]",5.72,4.58,3.86,5.60,..,5.98,5.15,5.01,5.93,6.06,5.92,6.17,5.45,6.68,6.13,6.18,6.22,7.00,6.64,6.29,6.00,6.50,7.55,6.03,6.04,6.45,4.55,5.04,4.01,5.39,6.11,5.69,5.60,5.88,6.26,7.81,6.38,5.71,5.70,5.33,6.61,6.34,6.74,6.42,6.02,8.37,7.58,7.68,7.51,7.96,8.17,7.06,7.38,7.12,7.70,7.45,9.29,10.12,10.03,10.09,9.86,10.10,9.88,8.84,8.99,11.54,10.76,9.80,9.29,11.33,10.17,9.30,9.66,9.45,10.88,10.74,11.32,10.10,11.12,10.69,10.95,11.93,11.40,12.70,10.56,11.46,10.80,10.26,11.12,10.63,11.14,11.51,11.23,11.15,11.12,10.13,9.86,9.59,9.89,10.70,10.48,10.88,11.58,10.68,12.17,12.18,12.05,12.10,13.46,13.56,14.48,14.25,14.81,16.37,17.71,17.41,13.11,15.66,15.24,15.81,15.50,15.60,15.53,15.74,14.97,15.14,16.18,15.78,19.07,14.53,15.96,15.18,16.01,15.92,17.82,18.08,17.57,18.01,17.44,18.15,18.16,17.33,17.14,18.26,16.50,22.91,13.33,13.77,14.17,16.74,11.97,13.89,14.42,17.58,15.81,15.78,13.96,15.08,15.30,17.04,17.83,16.70,17.81,17.47,18.32,18.69,18.44,15.65,16.86,17.91,17.57,14.91,16.04,16.37,18.45,18.26,16.95,17.72,15.54,16.86,16.48,16.92,16.69,16.43,16.56,16.80,19.90,20.63,21.49,21.12,21.21,21.22,20.96,20.74,19.55,19.90,20.60,20.16,21.41,21.15,21.41,22.31,21.34,21.72,21.71,20.68,20.48,21.10,22.50,22.17,21.68,20.37,19.02,19.93,20.74,20.55,22.05,21.52,20.86,21.85,21.07,22.60,22.93,23.22,22.70,22.76,22.10,21.22,21.64,21.80,21.99,22.09,22.20,22.23,22.47,22.06,22.06,21.41,22.73,23.57,24.18,24.16,23.62,24.33,22.51,25.16,23.19
